-7,25;32,54;0,03263;0,006435;64,35;22,2;3,089;12,65;79308;2,965;2,234;0,09692;0,0184
-0,36;27,49;0,04126;0,004126;41,26;20,86;6,268;13,57;120632;3,409;2,037;0,0622;0,01168
-13,81;21,66;0,03339;0,005678;56,78;12,54;-4,687;3,925;88391;3,074;2,203;0,0845;0,01761
-3,84;22,72;0,03124;0,004247;42,47;15,9;2,983;9,44;49548;2,534;1,975;0,1018;0,02001
1,68;25,2;0,06144;0,0031;31;20,22;6,661;13,44;370782;4,957;1,989;0,02845;0,005337
-16,84;34,28;0,03185;0,008465;84,65;20,68;-3,24;8,72;98407;3,186;2,43;0,09745;0,01928
-5,47;29,87;0,0536;0,005006;50,06;21,83;2,573;12,2;356709;4,894;2,242;0,03678;0,006988
4,53;34,11;0,05098;0,004156;41,56;27,43;11,21;19,32;230810;4,233;2,083;0,04368;0,007712
-15,73;28,31;0,0666;0,006116;61,16;18,48;-5,904;6,29;954896;6,795;2,46;0,02252;0,004549
-14,26;26,51;0,03893;0,006329;63,29;16,34;-4,091;6,125;160209;3,748;2,32;0,06439;0,01308
-10,63;23,72;0,05395;0,004863;48,63;15,91;-2,817;6,545;388066;5,033;2,251;0,03419;0,006898
-4,36;23,9;0,05956;0,00383;38,3;17,75;1,794;9,77;421829;5,175;2,118;0,02911;0,005675
-11,38;26,44;0,0492;0,005513;55,13;17,58;-2,522;7,53;310918;4,674;2,3;0,04141;0,008271
-4,06;31,74;0,03605;0,005597;55,97;22,75;4,933;13,84;97784;3,179;2,176;0,08104;0,01518
-16,39;33,34;0,06282;0,007061;70,61;21,99;-5,044;8,475;856993;6,554;2,533;0,02589;0,005107
3,11;33,95;0,05484;0,004275;42,75;27,08;9,978;18,53;306678;4,653;2,124;0,03754;0,006679
-14,81;31,96;0,05033;0,006908;69,08;20,86;-3,711;8,575;399863;5,083;2,452;0,04008;0,00791
-12,01;27,5;0,05284;0,005688;56,88;18,36;-2,871;7,745;405299;5,106;2,34;0,03609;0,007187
0,7;20,73;0,06988;0,002523;25,23;16,68;4,754;10,72;501387;5,482;1,917;0,02143;0,004136
-11,66;34,8;0,03831;0,007293;72,93;23,08;0,05789;11,57;157348;3,725;2,383;0,07041;0,01349
-17,97;31,01;0,06001;0,007016;70,16;19,74;-6,698;6,52;754335;6,281;2,525;0,02775;0,005591
-8,55;30,48;0,04785;0,005731;57,31;21,27;0,6577;10,97;277225;4,499;2,3;0,04536;0,008735
